title,date,source,description,url
"Hurricanes and Boeing Strike Depress Job Growth, But Unemployment Remains Steady",2024-11-06T06:40:49Z,CounterPunch,"The October jobs report showed little gain in hiring, with establishments adding just 12,000 jobs. The number was depressed both by the effects of the hurricanes that hit the South last month and the loss of roughly 33,000 jobs due to the strike at Boeing. Th…",https://www.counterpunch.org/2024/11/06/hurricanes-and-boeing-strike-depress-job-growth-but-unemployment-remains-steady/
TEDx event under fire for removing Palestine comment from speech,2024-11-06T06:39:07Z,ABC News (AU),"The video-recorded speech by Gunditjmara, Kirrae Wurrong, and Djab Wurrong woman Sissy Austin has now been uploaded in full after community backlash over comments edited out.",https://www.abc.net.au/news/2024-11-06/tedx-event-under-fire-for-removing-palestine-comment-from-speech/104568106
Reviewing Shimmick (SHIM) & Its Competitors,2024-11-06T06:35:04Z,ETF Daily News,"Shimmick (NASDAQ:SHIM – Get Free Report) is one of 19 public companies in the “Heavy construction, except building construction – contractors” industry, but how does it compare to its peers? We will compare Shimmick to related companies based on the strength …",https://www.etfdailynews.com/2024/11/06/reviewing-shimmick-shim-its-competitors-2/
Rounds of Showers and Storms Around,2024-11-06T06:30:35Z,kyweathercenter.com,"Good Wednesday, everyone. Showers and storms are rumbling across parts of Kentucky today as a cold front sweeps in from the west. This will slow down and keep some showers and storms going through Thursday with a bigger system for the weekend. This is all par…",https://kyweathercenter.com/?p=66952
WATCH: Explosive detection dog sniffs for bombs at L.A. county registrar’s office,2024-11-06T06:30:05Z,ABC News,An explosive detection dog sniffs for bombs at the Los Angeles County registrar's office on election night.,https://abcnews.go.com/US/video/explosive-detection-dog-sniffs-bombs-la-county-registrars-115552105
River City Girls 2 ‘Double Dragon DLC’ launches November 12,2024-11-06T06:26:08Z,Gematsu,"River City Girls 2’s “Double Dragon Downloadable Content,” featuring playable characters Billy and Jimmy Lee, will launch on November 12, developer WayForward announced.",https://www.gematsu.com/2024/11/river-city-girls-2-double-dragon-dlc-launches-november-12
[Removed],2024-11-06T06:15:45Z,[Removed],[Removed],https://removed.com
"‘Provocative’ Tusk should resign if Trump wins, Polish far-right PiS said",2024-11-06T06:08:08Z,EURACTIV,"In today's edition of the Capitals, find out more about Poland's PiS highlighting Tusk's behaviour with Trump as president, Borissov saying he is ready to sacrifice the premiership, and so much more.",https://www.euractiv.com/section/politics/news/the-capitals-provocative-tusk-should-resign-if-trump-wins-polish-far-right-pis-said/
AIG CEO Zaffino on Approach to Catastrophe Losses in Today’s Reinsurance Market,2024-11-06T06:08:06Z,Insurance Journal,"American International Group CEO Peter Zaffino said he expects the reinsurance market to remain above losses generated by the frequency and severity of natural catastrophes. Losses will instead continue to be absorbed by primary insurance companies, he told a…",https://www.insurancejournal.com/news/national/2024/11/06/800208.htm
Anger over flood response swells as Spain explodes in protests,2024-11-06T06:07:57Z,Biztoc.com,"There has been a shift over the past few years away from questioning whether human-driven climate change is real (although there are still plenty of people who insist it is not) to questioning what — if anything — can be done now that the change is here.
In S…",https://biztoc.com/x/ea2bf1c9c95ee256
China’s developers are borrowing more to sate thirst for capital after flood gates opened,2024-11-06T06:07:55Z,Biztoc.com,"Bond financing in the property sector rose for the second month in October, rising 3.2 per cent from last year to 29 billion yuan, according to the China Index Academy.",https://biztoc.com/x/e87a3ee2d646be41
"Trump wins Georgia in 2024 presidential election, reclaiming the swing state after 2020 loss",2024-11-06T06:03:56Z,New York Post,Trump's comeback in Georgia follows his razor-thin loss in 2020.,https://nypost.com/2024/11/06/us-news/donald-trump-wins-georgia-in-the-2024-presidential-election-reversing-2020-loss/
[Removed],2024-11-06T06:03:24Z,[Removed],[Removed],https://removed.com
[Removed],2024-11-06T06:00:52Z,[Removed],[Removed],https://removed.com
